,r,roll_avg_r,roll_std_r,upper_r,lower_r
391,11,10.82,2.2102728615375566,15.15213480861361,6.48786519138639
392,8,10.76,2.245721555786222,15.161614249340996,6.3583857506590045
393,10,10.64,2.116601048851777,14.788538055749484,6.491461944250518
394,15,10.74,2.2021325471239197,15.056179792362883,6.423820207637117
395,13,10.78,2.2249971336831873,15.140994382019047,6.419005617980952
396,12,10.84,2.2164505546537527,15.184243087121356,6.495756912878645
397,9,10.8,2.2314999074019997,15.173739818507919,6.426260181492082
398,9,10.78,2.243266568635931,15.176802474526424,6.383197525473575
399,11,10.82,2.2286630017817055,15.188179483492142,6.4518205165078575
400,10,10.82,2.2286630017817055,15.188179483492142,6.4518205165078575
401,12,10.82,2.2286630017817055,15.188179483492142,6.4518205165078575
402,12,10.66,1.8026058235516942,14.193107414161322,7.12689258583868
403,10,10.64,1.8043032461540587,14.176434362461956,7.103565637538045
404,10,10.6,1.7956864414253422,14.119545425193671,7.080454574806329
405,11,10.62,1.794435844492759,14.137094255205806,7.1029057447941915
406,17,10.8,1.9691498217272858,14.65953365058548,6.940466349414521
407,12,10.86,1.9588626437663499,14.699370781782045,7.0206292182179535
408,9,10.82,1.9762880067729813,14.693524493275044,6.946475506724957
409,11,10.82,1.9762880067729813,14.693524493275044,6.946475506724957
410,11,10.74,1.8823563175240992,14.429418382347235,7.050581617652766
411,10,10.74,1.8823563175240992,14.429418382347235,7.050581617652766
412,21,10.98,2.360300914748732,15.606189792907514,6.353810207092486
413,8,10.96,2.381561826762915,15.627861180455314,6.292138819544688
414,12,11.02,2.3689315597320055,15.66310585707473,6.376894142925269
415,11,10.98,2.351638595029663,15.58921164625814,6.370788353741861
416,11,10.88,2.237345365766028,15.265196916901417,6.494803083098586
417,14,10.92,2.2753335705217586,15.379653798222646,6.460346201777353
418,11,10.9,2.270035511724483,15.349269602979987,6.450730397020014
419,11,10.92,2.2663465160060325,15.362039171371823,6.477960828628176
420,12,10.94,2.2714734946142627,15.392088049443954,6.487911950556045
421,12,10.96,2.276409632804906,15.421762880297617,6.498237119702385
422,12,10.94,2.262471107043031,15.37444336980434,6.505556630195659
423,9,10.92,2.275333570521758,15.379653798222645,6.460346201777354
424,9,10.94,2.253432755525202,15.356728200829394,6.523271799170604
425,12,10.98,2.254157157297679,15.398148028303451,6.56185197169655
426,10,10.98,2.254157157297679,15.398148028303451,6.56185197169655
427,10,10.96,2.2584083251851825,15.38648031736296,6.533519682637043
428,11,10.94,2.253432755525202,15.356728200829394,6.523271799170604
429,10,10.94,2.253432755525202,15.356728200829394,6.523271799170604
430,13,11.0,2.2677868380554593,15.4448622025887,6.5551377974113
431,10,10.98,2.272192144792684,15.43349660379366,6.52650339620634
432,14,11.06,2.3071318000620544,15.581978328121627,6.538021671878374
433,13,11.1,2.323350852470178,15.65376767084155,6.5462323291584505
434,10,11.08,2.3285276069497143,15.64391410962144,6.516085890378561
435,9,11.06,2.3422473073909225,15.650804722486209,6.469195277513792
436,10,11.08,2.3285276069497143,15.64391410962144,6.516085890378561
437,9,11.1,2.3057160559385186,15.619203469639496,6.580796530360503
438,9,11.06,2.3247558572716405,15.616521480252416,6.503478519747585
439,9,11.06,2.3247558572716405,15.616521480252416,6.503478519747585
440,10,11.1,2.2879453397210896,15.584372865853336,6.615627134146664
441,8,11.04,2.329579098358894,15.605975032783432,6.474024967216566
442,9,11.06,2.3071318000620544,15.581978328121627,6.538021671878374
443,11,11.08,2.3020842375410866,15.59208510558053,6.56791489441947
444,12,11.02,2.2359767075564827,15.402514346810705,6.637485653189294
445,10,10.96,2.2219682394542217,15.315057749330276,6.604942250669726
446,14,11.0,2.2587697572632246,15.42718872423592,6.57281127576408
447,11,11.04,2.240262375304401,15.430914255596624,6.649085744403374
448,8,11.02,2.263192615825477,15.455857527017933,6.584142472982065
449,8,10.96,2.303147801579135,15.474169691095106,6.445830308904896
450,23,11.22,2.8592135353654085,16.8240585293162,5.6159414706838
451,10,11.18,2.862067184995664,16.7896516825915,5.570348317408499
452,9,11.12,2.875938178779874,16.756838830408554,5.483161169591446
453,10,11.12,2.875938178779874,16.756838830408554,5.483161169591446
454,11,11.14,2.871464107811451,16.768069651310444,5.511930348689557
455,12,11.16,2.87395056268112,16.792943102854995,5.5270568971450045
456,11,11.04,2.7476149211820924,16.425325245516902,5.654674754483098
457,9,10.98,2.758955732644928,16.387553235984058,5.572446764015941
458,12,11.04,2.7476149211820924,16.425325245516902,5.654674754483098
459,8,10.98,2.7810583802369466,16.430874425264417,5.529125574735585
