,e,r,roll_avg_r,roll_std_r,upper_r,lower_r
202,202,187.0,155.14,51.27477400222838,255.63855704436762,54.64144295563236
203,203,145.0,154.58,51.228615249762186,254.9880858895339,54.17191411046613
204,204,159.0,153.84,50.88416617521547,253.5729657034223,54.10703429657768
205,205,239.0,156.38,51.91236335775668,258.1282321812031,54.6317678187969
206,206,316.0,160.1,56.44945364063796,270.7409291356504,49.459070864349584
207,207,225.0,162.4,56.70870789411809,273.54906747247145,51.25093252752855
208,208,149.0,162.14,56.740371834509254,273.35112879563815,50.928871204361855
209,209,251.0,165.48,56.961583903683106,277.12470445121886,53.835295548781104
210,210,214.0,166.3,57.36572609679275,278.7368231497138,53.86317685028622
211,211,236.0,169.76,56.21371755022372,279.9388863984385,59.5811136015615
212,212,257.0,171.82,57.497006133238955,284.5141320211483,59.125867978851645
213,213,132.0,171.12,57.7692948595656,284.3478179247486,57.89218207525144
214,214,225.0,172.02,58.25891891078194,286.2074810651326,57.83251893486742
215,215,274.0,174.48,59.92622675474595,291.93540443930203,57.02459556069793
216,216,214.0,176.4,59.6168035482122,293.2489349544959,59.5510650455041
217,217,231.0,179.38,58.51561452174237,294.07060446261505,64.68939553738495
218,218,463.0,186.12,70.43585589682553,324.17427755777805,48.06572244222198
219,219,500.0,190.14,81.8248527686561,350.51671142656596,29.76328857343404
220,220,329.0,194.14,83.64331706595526,358.0809014492723,30.199098550727683
221,221,100.0,193.02,84.53461795414388,358.707851190122,27.332148809877992
222,222,192.0,191.52,83.85780968340374,355.88130697947133,27.158693020528688
223,223,297.0,192.62,84.88789486067819,359.00027392692925,26.239726073070756
224,224,136.0,190.84,85.12784143718848,357.69056921688946,23.989430783110578
225,225,312.0,193.68,86.77120748831143,363.7515666770904,23.608433322909605
226,226,195.0,194.9,86.34275550717287,364.1318007940588,25.668199205941193
227,227,243.0,196.92,86.26131159187774,365.99217072008037,27.84782927991961
228,228,430.0,201.28,92.33458237324095,382.25578145155225,20.30421854844775
229,229,500.0,207.98,101.36124324737273,406.64803676485053,9.311963235149449
230,230,188.0,208.4,101.23139788804336,406.813539860565,9.986460139435025
231,231,245.0,210.5,100.87196370262895,408.20904885715277,12.790951142847263
232,232,333.0,214.34,101.82229618310521,413.9117005188862,14.768299481113786
233,233,179.0,213.94,101.92302217349912,413.70912346005827,14.17087653994173
234,234,299.0,219.02,99.63514870337103,414.30489145860724,23.735108541392805
235,235,267.0,219.9,99.86506201993218,415.6355215590671,24.164478440932925
236,236,447.0,225.44,104.61087468347073,430.4773143796026,20.402685620397392
237,237,500.0,232.8,110.67252668691226,449.71815230634803,15.881847693651991
238,238,261.0,233.62,110.72762868905863,450.6461522305549,16.59384776944509
239,239,261.0,236.32,109.69092757305289,451.31421804318364,21.325781956816343
240,240,376.0,241.32,110.25599895752815,457.4217579567552,25.218242043244828
241,241,335.0,245.22,110.04753889263735,460.9131762295692,29.52682377043081
242,242,460.0,251.66,113.02638485534865,473.19171431648334,30.12828568351665
243,243,500.0,259.18,116.80450962778687,488.1168388704623,30.243161129537754
244,244,133.0,258.88,117.11474227074427,488.4248948506588,29.335105149341217
245,245,500.0,266.42,120.28114853906887,502.171051136575,30.668948863425044
246,246,500.0,273.44,123.4882725986065,515.4770142932687,31.402985706731272
247,247,190.0,274.92,121.99729672481789,514.0347015806431,35.80529841935697
248,248,225.0,277.14,120.0028928222744,512.3456699316578,41.93433006834215
249,249,259.0,280.0,117.76732508273612,510.8239571621628,49.1760428378372
250,250,234.0,282.32,115.63408861135882,508.9628136782633,55.67718632173671
251,251,178.0,280.42,116.56706749545425,508.89145229109033,51.94854770890967
252,252,231.0,281.3,116.01218268187286,508.6838780564708,53.91612194352922
253,253,127.0,280.94,116.47079164375265,509.22275162175515,52.657248378244816
254,254,252.0,282.8,115.21957741811136,508.6303717394983,56.969628260501764
255,255,277.0,283.56,115.0499731704906,509.0579474141616,58.062052585838416
256,256,333.0,283.9,115.17285146372694,509.6387888689048,58.16121113109517
257,257,166.0,282.72,116.0872367257152,510.2509839824018,55.18901601759825
258,258,249.0,284.72,114.58817832675801,509.3128295204457,60.12717047955434
259,259,297.0,285.64,114.49654838394358,510.05323483252937,61.226765167470575
260,260,280.0,286.96,114.03328550945828,510.46523959853823,63.454760401461755
261,261,188.0,286.0,114.6713137802198,510.7557750092308,61.2442249907692
262,262,308.0,287.02,114.63491116210128,511.70442587771845,62.335574122281486
263,263,484.0,294.06,115.72388143634774,520.8788076152416,67.24119238475845
264,264,221.0,293.98,115.77396873535382,520.8969787212935,67.06302127870654
265,265,142.0,291.34,117.7273935143111,522.0856912880497,60.59430871195022
266,266,175.0,290.56,118.37766612302627,522.5802256011315,58.5397743988685
267,267,247.0,290.88,118.23491662873565,522.6204365923219,59.13956340767814
268,268,387.0,289.36,116.45210279294207,517.6061214741665,61.11387852583357
269,269,500.0,289.36,116.45210279294207,517.6061214741665,61.11387852583357
270,270,309.0,288.96,116.34746693084675,517.0010351844596,60.91896481554036
271,271,343.0,293.82,113.32933586387475,515.9454982931945,71.69450170680548
272,272,196.0,293.9,113.25738251380145,515.8844697270508,71.91553027294916
273,273,304.0,294.04,113.26561882655854,516.0406129000547,72.03938709994529
274,274,294.0,297.2,110.94676053616605,514.6556506508855,79.74434934911451
275,275,449.0,299.94,112.99257877021323,521.405454389618,78.47454561038208
276,276,218.0,300.4,112.6027875103544,521.1014635202946,79.69853647970535
277,277,300.0,301.54,112.29792917930041,521.6439411914288,81.43605880857123
278,278,268.0,298.3,110.84356507424025,515.5533875455109,81.04661245448912
279,279,366.0,295.62,107.43481934718955,506.1922459204915,85.04775407950851
280,280,224.0,296.34,106.81771809002086,505.70272745644087,86.97727254355908
281,281,330.0,298.04,106.66023875189961,507.09406795372325,88.98593204627679
282,282,336.0,298.1,106.68114803909246,507.1950501566213,89.0049498433788
283,283,441.0,303.34,107.1452590206969,513.3447076805659,93.33529231943405
284,284,484.0,307.04,110.14460995455384,522.9234355109255,91.1565644890745
